Country,Colombia,Year,Value,Temp_rate
China,CO2 emissions (metric tons per capita),1990,2.000538765,0.942
China,CO2 emissions (metric tons per capita),1991,2.07574444,1.123
China,CO2 emissions (metric tons per capita),1992,2.244840637,1.145
China,CO2 emissions (metric tons per capita),1993,2.32219225,1.244
China,CO2 emissions (metric tons per capita),1994,2.563478593,1.251
China,CO2 emissions (metric tons per capita),1995,2.521875898,1.344
China,CO2 emissions (metric tons per capita),1996,2.547901551,1.357
China,CO2 emissions (metric tons per capita),1997,2.605836859,1.369
China,CO2 emissions (metric tons per capita),1998,2.517419885,1.378
China,CO2 emissions (metric tons per capita),1999,2.650412428,1.421
China,CO2 emissions (metric tons per capita),2000,2.774761175,1.533
China,CO2 emissions (metric tons per capita),2001,2.975679521,
China,CO2 emissions (metric tons per capita),2002,3.427437253,
China,CO2 emissions (metric tons per capita),2003,3.954107458,
China,CO2 emissions (metric tons per capita),2004,4.46770003,
China,CO2 emissions (metric tons per capita),2005,4.910276132,
China,CO2 emissions (metric tons per capita),2006,5.306366015,
China,CO2 emissions (metric tons per capita),2007,5.435075622,
China,CO2 emissions (metric tons per capita),2008,5.798318754,
China,CO2 emissions (metric tons per capita),2009,6.335417691,
China,CO2 emissions (metric tons per capita),2010,6.901344429,
China,CO2 emissions (metric tons per capita),2011,7.046182675,
China,CO2 emissions (metric tons per capita),2012,7.324147115,
China,CO2 emissions (metric tons per capita),2013,7.294235506,
China,CO2 emissions (metric tons per capita),2014,7.146449357,
China,CO2 emissions (metric tons per capita),2015,7.115385005,
China,CO2 emissions (metric tons per capita),2016,7.230985031,
China,CO2 emissions (metric tons per capita),2017,7.487331894,
China,CO2 emissions (metric tons per capita),2018,7.605936961,
China,CO2 emissions (metric tons per capita),2019,7.605936961,
Colombia,CO2 emissions (metric tons per capita),1990,1.494149829,0.574
Colombia,CO2 emissions (metric tons per capita),1991,1.52545272,0.445
Colombia,CO2 emissions (metric tons per capita),1992,1.592418764,0.031
Colombia,CO2 emissions (metric tons per capita),1993,1.587852986,0.193
Colombia,CO2 emissions (metric tons per capita),1994,1.628436527,0.681
Colombia,CO2 emissions (metric tons per capita),1995,1.581869344,-0.064
Colombia,CO2 emissions (metric tons per capita),1996,1.701578179,0.004
Colombia,CO2 emissions (metric tons per capita),1997,1.679686277,0.002
Colombia,CO2 emissions (metric tons per capita),1998,1.420532198,-0.165
Colombia,CO2 emissions (metric tons per capita),1999,1.472118383,-0.165
Colombia,CO2 emissions (metric tons per capita),2000,1.464131171,-0.165
Colombia,CO2 emissions (metric tons per capita),2001,1.388856179,
Colombia,CO2 emissions (metric tons per capita),2002,1.352573854,
Colombia,CO2 emissions (metric tons per capita),2003,1.333540814,
Colombia,CO2 emissions (metric tons per capita),2004,1.351537304,
Colombia,CO2 emissions (metric tons per capita),2005,1.335388783,
Colombia,CO2 emissions (metric tons per capita),2006,1.353071942,
Colombia,CO2 emissions (metric tons per capita),2007,1.350808645,
Colombia,CO2 emissions (metric tons per capita),2008,1.385696614,
Colombia,CO2 emissions (metric tons per capita),2009,1.405488898,
Colombia,CO2 emissions (metric tons per capita),2010,1.51326854,
Colombia,CO2 emissions (metric tons per capita),2011,1.512727212,
Colombia,CO2 emissions (metric tons per capita),2012,1.653063497,
Colombia,CO2 emissions (metric tons per capita),2013,1.686264961,
Colombia,CO2 emissions (metric tons per capita),2014,1.688318124,
Colombia,CO2 emissions (metric tons per capita),2015,1.716241161,
Colombia,CO2 emissions (metric tons per capita),2016,1.533229136,
Colombia,CO2 emissions (metric tons per capita),2017,1.582527692,
Colombia,CO2 emissions (metric tons per capita),2018,1.609870831,
Colombia,CO2 emissions (metric tons per capita),2019,1.609870831,
India,CO2 emissions (metric tons per capita),1990,0.681306247,-0.131
India,CO2 emissions (metric tons per capita),1991,0.688755269,-0.075
India,CO2 emissions (metric tons per capita),1992,0.702336947,0.275
India,CO2 emissions (metric tons per capita),1993,0.725358158,0.911
India,CO2 emissions (metric tons per capita),1994,0.765476409,-0.761
India,CO2 emissions (metric tons per capita),1995,0.787965578,0.579
India,CO2 emissions (metric tons per capita),1996,0.818533297,0.579
India,CO2 emissions (metric tons per capita),1997,0.820287851,0.579
India,CO2 emissions (metric tons per capita),1998,0.868284688,0.579
India,CO2 emissions (metric tons per capita),1999,0.887641212,0.579
India,CO2 emissions (metric tons per capita),2000,0.887013876,0.579
India,CO2 emissions (metric tons per capita),2001,0.901339542,
India,CO2 emissions (metric tons per capita),2002,0.910255466,
India,CO2 emissions (metric tons per capita),2003,0.961090201,
India,CO2 emissions (metric tons per capita),2004,0.99029291,
India,CO2 emissions (metric tons per capita),2005,1.042663453,
India,CO2 emissions (metric tons per capita),2006,1.129757683,
India,CO2 emissions (metric tons per capita),2007,1.18632121,
India,CO2 emissions (metric tons per capita),2008,1.285083612,
India,CO2 emissions (metric tons per capita),2009,1.344896147,
India,CO2 emissions (metric tons per capita),2010,1.405068333,
India,CO2 emissions (metric tons per capita),2011,1.508508252,
India,CO2 emissions (metric tons per capita),2012,1.539947839,
India,CO2 emissions (metric tons per capita),2013,1.657231271,
India,CO2 emissions (metric tons per capita),2014,1.647151914,
India,CO2 emissions (metric tons per capita),2015,1.657396308,
India,CO2 emissions (metric tons per capita),2016,1.733360844,
India,CO2 emissions (metric tons per capita),2017,1.8126965,
India,CO2 emissions (metric tons per capita),2018,1.797620119,
India,CO2 emissions (metric tons per capita),2019,1.797620119,
Germany,CO2 emissions (metric tons per capita),1990,11.65485055,2.233
Germany,CO2 emissions (metric tons per capita),1991,11.07379165,1.699
Germany,CO2 emissions (metric tons per capita),1992,10.93025817,3.163
